ID,puntuacion,KR_Vl,KR_Wa,Dtc-,segm1,segm3,segm5,KT_Vl,KT_Wa,DtcΔ,segm2,segm4,segm6
0,53.57799417010244,0.65,0.07,1.45,1.524,7.579,20.089,1.1,0.02,0.9,6.469,9.188,8.729
1,52.18605780091841,0.65,0.07,1.2,1.492,7.698,18.518,1.1,0.02,0.9,6.487,9.238,8.752
2,52.53380259336823,0.65,0.07,1.26,1.499,7.474,19.133,1.1,0.02,0.9,6.463,9.186,8.779
3,53.57922453362523,0.65,0.07,1.31,1.504,7.521,20.122,1.1,0.02,0.9,6.495,9.222,8.715
4,53.31787449341748,0.65,0.07,1.37,1.509,7.478,19.876,1.1,0.02,0.9,6.487,9.228,8.74
5,53.628323267312894,0.65,0.07,1.42,1.527,7.599,20.045,1.1,0.02,0.9,6.487,9.189,8.782
6,52.89843172816793,0.65,0.07,1.48,1.532,7.662,19.293,1.1,0.02,0.9,6.455,9.21,8.747
7,53.70803399007527,0.65,0.07,1.53,1.54,7.529,20.176,1.1,0.02,0.9,6.458,9.212,8.793
8,53.60564739261835,0.65,0.07,1.59,1.542,7.476,20.187,1.1,0.02,0.9,6.443,9.208,8.749
9,53.74174484345039,0.65,0.07,1.64,1.554,7.602,20.165,1.1,0.02,0.9,6.457,9.234,8.73
10,53.82328360450055,0.65,0.07,1.7,1.573,7.599,20.167,1.1,0.02,0.9,6.5,9.219,8.765
11,53.55009762083315,0.65,0.07,1.73,1.58,7.624,19.615,1.1,0.02,0.9,6.583,9.329,8.82
12,52.93797764008734,0.65,0.07,1.76,1.567,7.645,18.977,1.1,0.02,0.9,6.573,9.357,8.819
13,51.30564060958351,0.65,0.07,1.78,1.573,7.63,17.517,1.1,0.02,0.9,6.588,9.171,8.828
14,52.77286124669976,0.65,0.07,1.81,1.576,7.528,18.99,1.1,0.02,0.9,6.594,9.318,8.766
15,53.49583662163774,0.65,0.07,1.84,1.582,7.521,19.69,1.1,0.02,0.9,6.603,9.287,8.813
16,52.86870529754293,0.65,0.07,1.87,1.612,7.535,19.01,1.1,0.02,0.9,6.608,9.348,8.756
17,53.54894888446192,0.65,0.07,1.89,1.501,7.501,19.938,1.1,0.02,0.9,6.564,9.276,8.769
18,52.880054168134535,0.65,0.07,1.92,1.621,7.539,19.064,1.1,0.02,0.9,6.614,9.295,8.746
19,53.49566490983662,0.65,0.07,1.95,1.637,7.513,19.602,1.1,0.02,0.9,6.592,9.368,8.784
20,52.06383736205971,0.65,0.07,1.98,1.633,7.591,18.26,1.1,0.02,0.9,6.591,9.233,8.757
21,53.11249712397096,0.65,0.07,2.0,1.63,7.605,19.177,1.1,0.02,0.9,6.58,9.339,8.781
22,51.458007026761706,0.65,0.07,2.03,1.662,7.682,17.49,1.1,0.02,0.9,6.582,9.236,8.805
23,53.82228995774592,0.65,0.07,2.06,1.69,7.465,20.105,1.1,0.02,0.9,6.6,9.223,8.739
